"gloss","target_child_name","part_of_speech","target_child_sex"
"we hadta make sure the building was safe","Emily","pro:sub mod v adj det:art n cop adj",NA
"what do you tell Mommy when I'm too close to the wall","Emily","pro:int mod pro:per v n:prop conj pro:sub adv adj prep det:art n",NA
"we tied it very safe right","Emily","pro:sub v pro:per adv adj co",NA
"you don't want it to touch the ceiling it's sharp and prickly up there","Emily","pro:per mod v pro:per inf v det:art n pro:per adj coord adj prep n",NA
"how did he get that big fish","Emily","pro:int mod pro:sub v det:dem adj n",NA
"just a little bit huh","Emily","adv det:art adj n co",NA
"they saw Uncle_Aggie's fish too","Emily","pro:sub v adj n adv",NA
"oh and Phil okay","Emily","co coord n:prop adj",NA
"can you tell me the names of the little boys you were playing with","Emily","mod pro:per v pro:obj det:art n prep det:art adj n pro:per aux part prep",NA
"not on your nice blanky please","Emily","neg prep det:poss adj adj co",NA
"oh wow that looks like that would be good today","Emma","co co pro:rel v prep pro:dem mod cop adj adv:tem",NA
"Ten_Little_Ladybugs did you read that for Jessica last time","Emma","n:prop mod pro:per v adv prep n:prop adj n",NA
"you did wear it to Janie's yesterday didn't ya","Emma","pro:per v v pro:per inf adj adv:tem mod pro:per",NA
"who was your favorite playmate in Germany","Emma","pro:int cop det:poss adj prep n:prop",NA
"whoever designed the car they were goofy","Emma","pro:int v det:art n pro:sub cop adj",NA
"that sounds good","Emma","pro:rel v adj",NA
"do you think you might be a little big","Emma","mod pro:per v pro:per mod cop det:art adj adj",NA
"I think that's part of Daddy's uh bike helmet","Emma","pro:sub v comp n prep adj n n",NA
"a big rhinoceros","Emma","det:art adj n",NA
"what are you doing goofy girl","Emma","pro:int aux pro:per part adj n",NA
"that's pretty cool","Emma","pro:dem adv adj",NA
"you are completely incomprehensible do you know that","Emma","pro:per cop adv adj mod pro:per v pro:dem",NA
"it's right there sweet pea","Emma","pro:per adv adv adj n",NA
"well can you put it back in","Emma","co mod pro:per v pro:per adj adv",NA
"you be gentle pretty girl","Emma","pro:per cop adj adj n",NA
"talk about standard gender representation","Emma","n adv adj n n",NA
"take Aunt_Carey into the back room and show her those toys","Emily","v n:prop prep det:art adj n coord v pro:obj det:dem n",NA
"what cheeky","Emma","pro:int adj",NA
"that poor lion","Emma","det:dem adj n",NA
"you're eating that whole sandwich","Emma","pro:per n:gerund adv adj n",NA
"that's a little microphone","Emma","pro:dem det:art adj n",NA
"you know usually with pretend food we just pretend to eat it","Emma","pro:per v adv prep adj n pro:sub adv adj inf v pro:per",NA
"yes that's what I was afraid of","Emma","co pro:dem pro:int pro:sub cop adj prep",NA
"let's try to be gentle with this and you know a good thing is to not touch that part right","Emma","v v inf cop adj prep det:dem coord pro:per v det:art adj n cop inf neg v det:dem n co",NA
"you know that part that you are touching","Emma","pro:per v adv adj comp pro:per aux part",NA
"well the battery's in there","Emma","co det:art adj prep n",NA
"no okay","Emma","co adj",NA
"it's white","Emma","pro:per adj",NA
"it's white peanut butter","Emma","pro:per adj n n",NA
"we don't eat stickers we just stick them on things","Emma","pro:sub mod v n pro:sub adj n pro:obj prep n",NA
"you're a goofy","Emma","pro:per det:art adj",NA
"oh we do okay","Emma","co pro:sub v adj",NA
"where's the restaurant sweet pea","Emma","pro:int det:art n adj n",NA
"do you think you could help out your poor deaf mother and speak louder","Emma","mod pro:per v pro:per mod v adv det:poss adj adj n coord v adj",NA
"chipper chopper","Emma","adj n",NA
"chipper chopper chipper chopper","Emma","adj n adj n",NA
"I suppose you could draw on that but I think you're a goofy girl","Emma","pro:sub v pro:per mod v prep det:dem conj pro:sub v pro:per det:art adj n",NA
"it's a long story","Emma","pro:per det:art adj n",NA
"red oh it looks like red","Emma","adj co pro:per v co n",NA
"whatcha drawing sweet pea","Emma","pro:int aux pro:per part adj n",NA
"yeah that's nice","Emma","co pro:dem adj",NA
"you drawing daddy's beard","Emma","pro:per n adj n",NA
"I know mommy didn't mean to do that","Emma","pro:sub v n mod adj inf v pro:dem",NA
"you what sweet pea","Emma","pro:per pro:int adj n",NA
"Heidi's your friend huh","Emma","adj det:poss n co",NA
"I guess there's more ambient noise here isn't there","Emma","pro:sub v pro:exist adv adj n adv cop adv",NA
"I think Jessica's gonna go and get something yeah","Emma","pro:sub v adj part v coord v pro:indef co",NA
"I'll see you sweet pea I'm off to Aunt_Chrissy's","Emma","pro:sub v pro:per n n pro:sub adv inf adj",NA
"wow you're good","Jillian","co pro:per adj",NA
"are you sure it was Jenell","Jillian","cop pro:per adj pro:per cop n:prop",NA
"a big car isn't it","Jillian","det:art adj n cop pro:per",NA
"doesn't she usually take somebody along with her for at least part of the ride","Jillian","mod pro:sub adv v pro:indef adv prep pro:obj prep prep adj n prep det:art n",NA
"what's the little boy doing in that pool","Jillian","pro:int det:art adj n part prep det:dem n",NA
"you said last time you liked to do it in the bathtub","Jillian","pro:per v adj n pro:per v inf v pro:per prep det:art",NA
"is that a new book","Jillian","cop comp det:art adj n",NA
"when's the last time you went to the doctor","Jillian","pro:int det:art adj n pro:per v prep det:art n",NA
"we got a new pool for you right","Jillian","pro:sub v det:art adj n prep pro:per co",NA
"what's the little boy doing now","Jillian","pro:int det:art adj n part adv",NA
"isn't this nice","Jillian","cop det:dem adj",NA
"this one's a brand new one","Jillian","pro:dem adj det:art adj adj pro:indef",NA
"where'd that little boy go","Jillian","pro:int mod det:dem adj n v",NA
"it is kinda crazy","Jillian","pro:per cop adj prep adj",NA
"it's a crazy car","Jillian","pro:per det:art adj n",NA
"is it okay that we that she uses them right","Jillian","cop pro:per adj comp pro:sub pro:rel pro:sub v pro:obj adj",NA
"oh yummy","Jillian","co adj",NA
"what's their favorite breakfast","Jillian","pro:int det:poss adj n",NA
"and this orange truck is doing something very different that I've never seen","Jillian","coord det:dem adj n aux part pro:indef adv adj comp pro:sub adv part",NA
"what is the orange truck doing","Jillian","pro:int cop det:art adj n part",NA
